lease_id,cmu_name,grow_area_name,grow_area_type,waterbody,rainfall_desc,rainfall_thresh_days,rainfall_thresh_in,emerg_cond,latitude,longitude
L-727,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.15069329,-82.99600014
L-728,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.15006521,-82.99521122
L-729,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14943715,-82.99442179
L-730,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14880905,-82.99363339
L-731,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14818097,-82.99284448
L-732,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14755287,-82.9920556
L-733,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14692478,-82.99126672
L-734,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14629668,-82.99047785
L-735,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14566857,-82.98968899
L-736,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14504045,-82.98890014
L-737,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14441233,-82.9881113
L-738,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14378419,-82.98732246
L-739,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14315606,-82.98653364
L-801,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14667868,-83.00742467
L-802,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14607238,-83.0072524
L-803,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14539872,-83.00706097
L-804,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14479242,-83.00688868
L-805,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14418612,-83.00671639
L-806,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14357982,-83.00654411
L-807,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.1429735,-83.0063718
L-808,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14236722,-83.00619956
L-809,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14176092,-83.00602727
L-810,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14620442,-83.0087613
L-811,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14559813,-83.008589
L-812,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14492447,-83.00839756
L-813,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14431818,-83.00822537
L-814,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14371187,-83.00805298
L-827,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14310558,-83.00788068
L-828,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14249928,-83.00770839
L-829,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14189298,-83.00753611
L-830,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14128669,-83.00736382
L-815,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14570414,-83.01017121
L-816,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14509785,-83.0099989
L-817,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.1444242,-83.00980745
L-818,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.1438179,-83.00963516
L-819,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14321161,-83.00946285
CC-01,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.83999354,-81.64263626
CC-02,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84054,-81.64206064
CC-03,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84108646,-81.64148501
CC-04,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84163291,-81.64090938
CC-05,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84217937,-81.64033375
CC-08,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84381871,-81.6386068
CC-09,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84436515,-81.63803115
CC-10,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.8449116,-81.63745549
CC-11,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84545804,-81.63687982
CC-12,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84600447,-81.63630415
CC-13,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.8465509,-81.63572847
CC-14,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84709733,-81.63515278
CC-15,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84764377,-81.6345771
CC-16,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84819019,-81.6340014
L-549,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21692301,-83.09563304
l-525,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21718239,-83.09377576
L-501,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21744174,-83.09191847
L-550,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21637992,-83.09553447
L-551,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21583681,-83.09543591
L-552,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21529371,-83.09533737
L-553,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2147506,-83.09523881
L-554,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21420749,-83.09514025
L-555,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2136644,-83.09504169
L-556,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2131213,-83.09494315
L-557,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21257819,-83.0948446
L-558,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21203508,-83.09474605
L-559,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21149199,-83.09464749
L-560,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21094888,-83.09454895
L-561,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21040577,-83.0944504
L-562,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20986267,-83.09435187
L-563,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20931958,-83.0942534
L-564,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20877647,-83.09415486
L-565,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20823335,-83.09405624
L-566,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20769025,-83.0939577
L-567,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20714715,-83.09385915
L-568,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20660405,-83.09376061
L-569,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20606094,-83.09366207
L-570,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20551783,-83.09356354
L-571,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20497473,-83.09346501
L-572,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20443161,-83.09336638
L-526,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21663925,-83.09367748
L-527,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21609617,-83.09357867
L-528,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21555308,-83.09348011
L-529,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21500997,-83.09338156
L-530,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21446686,-83.09328302
L-531,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2139238,-83.09318522
L-532,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21338066,-83.09308593
L-533,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21283756,-83.09298739
L-534,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21229445,-83.09288886
L-535,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21175134,-83.09279033
L-536,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21120824,-83.09269178
L-537,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21066513,-83.09259324
L-538,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21012202,-83.0924947
L-539,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20957891,-83.09239617
L-540,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20903582,-83.09229764
L-541,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2084927,-83.0921991
L-542,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2079496,-83.09210058
L-543,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20740649,-83.09200205
L-544,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20686338,-83.09190353
L-545,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20632028,-83.09180499
L-546,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20577718,-83.09170646
L-547,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20523406,-83.09160793
L-548,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20469095,-83.09150942
L-502,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21689863,-83.09181993
L-503,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21635552,-83.0917214
L-504,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21581241,-83.09162287
L-505,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21526932,-83.09152432
L-506,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21472621,-83.09142578
L-507,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2141831,-83.09132725
L-508,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21363999,-83.09122872
L-509,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21309689,-83.09113018
L-510,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21255379,-83.09103166
L-511,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21201067,-83.09093312
L-513,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21092446,-83.09073608
L-514,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21038135,-83.09063754
L-515,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20983824,-83.09053902
L-516,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20929513,-83.09044049
L-517,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20875202,-83.09034197
L-518,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20820892,-83.09024344
L-519,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20766581,-83.09014493
L-520,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.2071227,-83.09004641
L-521,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20657959,-83.0899479
L-522,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20603649,-83.08984937
L-523,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20549338,-83.08975086
L-524,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.20495027,-83.08965235
L-512,241_30,DERRICKS,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.21146756,-83.0908346
L-825,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14260531,-83.00929055
L-826,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14199901,-83.00911826
L-820,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14522986,-83.01150779
L-821,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14462357,-83.01133547
L-822,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14394992,-83.01114402
L-823,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14334363,-83.01097171
L-824,250_30,DOG ISLAND,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14273733,-83.01079941
L-601,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.18183593,-83.07614981
L-602,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.18128714,-83.07610915
L-603,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.18073836,-83.07606851
L-604,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.18018957,-83.07602786
L-605,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17964077,-83.07598722
L-606,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17909198,-83.07594656
L-607,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17854358,-83.07590637
L-608,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.1779944,-83.07586525
L-609,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17744561,-83.07582463
L-610,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17689682,-83.07578399
L-611,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17634803,-83.07574335
L-612,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17579924,-83.07570269
L-613,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17525046,-83.07566205
L-614,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17470167,-83.07562139
L-615,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17415288,-83.07558076
L-616,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17360409,-83.07554012
L-617,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.1730553,-83.07549949
L-618,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17250651,-83.07545879
L-619,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17195772,-83.0754182
L-620,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17140893,-83.07537755
L-621,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17086013,-83.07533693
L-622,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.17031151,-83.07529481
L-625,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16866496,-83.07517437
L-626,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16811618,-83.07513373
L-627,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.1675674,-83.07509308
L-628,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.1670186,-83.07505245
L-629,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16646982,-83.07501182
L-630,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16592102,-83.07497119
L-631,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16537223,-83.07493054
L-632,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16425572,-83.07503518
L-633,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16372012,-83.07517744
L-634,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16318454,-83.07531969
L-635,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16264896,-83.07546194
L-636,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16211337,-83.07560414
L-637,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16157777,-83.07574644
L-638,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16104219,-83.07588869
L-639,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.16050665,-83.07603099
L-640,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.15997101,-83.07617318
L-641,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.15943542,-83.07631543
L-642,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.15889983,-83.07645767
L-643,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.15836425,-83.0765999
L-644,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.15782866,-83.07674214
L-645,241_30,GULF JACKSON,AUZ, ,"EmergCond/3 days >10.5"" Cedar Key Forestry",3,10.5,YES,29.1817393,-83.07786807
