HA_CLASS,rainfall_thresh_in,datetime_uct,valid_period_hrs,pop12_perc,qpf_in,prob_close_perc,flag
MU_7,1.5,9/15/20,24,39,0.12,0,testing
MU_10,3,9/15/20,24,39,0.12,0,testing
MU_11,1,9/15/20,24,39,0.12,0,testing
MU_12,1.5,9/15/20,24,39,0.12,0,testing
MU_14,3,9/15/20,24,39,0.12,0,testing
MU_15,1.5,9/15/20,24,39,0.12,0,testing
MU_16B,2,9/15/20,24,39,0.12,0,testing
BS_2,3,9/15/20,24,39,0.12,0,testing
BS_4,3,9/15/20,24,39,0.11,0,testing
BS_3,2.5,9/15/20,24,39,0.11,0,testing
BS_5,2.5,9/15/20,24,39,0.11,0,testing
BS_8,2.5,9/15/20,24,39,0.08,0,testing
BS_9,3,9/15/20,24,38.8,0.08,0,testing
BS_11,3,9/15/20,24,38.33,0.06,0,testing
BS_13,3,9/15/20,24,38,0.04,0,testing
BS_12,2.5,9/15/20,24,38,0.04,0,testing
MU_13,3,9/15/20,24,39,0.12,0,testing
Neuse_7,4,9/15/20,24,35,0.03,0,testing
JB_3,4,9/15/20,24,36,0.03,0,testing
PAM_6,4,9/15/20,24,37.25,0.04,0,testing
PAM_7,4,9/15/20,24,34.58,0.03,0,testing
NB_6,4,9/15/20,24,34.96,0.03,0,testing
NPT_3,1.5,9/15/20,24,37.78,0.04,0,testing
NH_6,2,9/15/20,24,38.82,0.05,0,testing
NR_1,1.5,9/15/20,24,37,0.03,0,testing
Sandy_1,4,9/15/20,24,28,0.02,0,testing
Onsl_2,3,9/15/20,24,38.41,0.11,0,testing
NH_3,3,9/15/20,24,37.64,0.07,0,testing
Onsl_3,3,9/15/20,24,38,0.12,0,testing
CL_4A,4,9/15/20,24,33.68,0.03,0,testing
OBX_4A,4,9/15/20,24,27.49,0.02,0,testing
OBX_4B,4,9/15/20,24,27,0.02,0,testing
Stump_1,4,9/15/20,24,28,0.02,0,testing
OBX_9B,4,9/15/20,24,28.18,0.03,0,testing
BS_14,2.5,9/15/20,24,38,0.04,0,testing
OBX_9A,4,9/15/20,24,30.14,0.03,0,testing
OBX_10A,4,9/15/20,24,33.14,0.03,0,testing
NR_8B,3,9/15/20,24,36.52,0.04,0,testing
NR_6,1.5,9/15/20,24,37,0.03,0,testing
BS_1,2.5,9/15/20,24,39,0.12,0,testing
BS_10,2.5,9/15/20,24,38.25,0.05,0,testing
PAM_1,4,9/16/20,48,20.61,0.01,0,testing
Pungo_1,4,9/16/20,48,20.15,0.01,0,testing
Hyde_6,4,9/16/20,48,21.6,0.01,0,testing
OBX_3,4,9/16/20,48,17.21,0.01,0,testing
Bruns_1,1,9/16/20,48,40.8,0.03,0,testing
Bruns_2,1,9/16/20,48,42,0.03,0,testing
Bruns_7,1,9/16/20,48,41,0.04,0,testing
Bruns_8,4,9/16/20,48,37.08,0.12,0,testing
NHP_2,3,9/16/20,48,41.58,0.04,0,testing
PAM_6A,4,9/16/20,48,22.14,0.01,0,testing
NR_5,1.5,9/16/20,48,26,0.01,0,testing
NR_9,4,9/16/20,48,28,0.01,0,testing
JB_1A,2,9/16/20,48,26,0.01,0,testing
CL_3,4,9/16/20,48,24.89,0.01,0,testing
Bruns_3,1.5,9/16/20,48,42,0.03,0,testing
Bruns_4A,2,9/16/20,48,41.33,0.03,0,testing
NH_1,2,9/16/20,48,39,0.14,0,testing
NH_5,3,9/16/20,48,40.69,0.12,0,testing
NH_7,2,9/16/20,48,40.92,0.06,0,testing
PND_2,3,9/16/20,48,40.92,0.04,0,testing
PND_4,3,9/16/20,48,39.36,0.04,0,testing
PND_3,2.5,9/16/20,48,39.6,0.04,0,testing
NHP_1,2.5,9/16/20,48,42.75,0.03,0,testing
Onsl_6A,1.5,9/16/20,48,32,0.01,0,testing
MU_2,1.5,9/16/20,48,30,0.01,0,testing
MU_3,3,9/16/20,48,30.67,0.01,0,testing
MU_1,1.5,9/16/20,48,30,0.01,0,testing
MU_4,1.5,9/16/20,48,30,0.01,0,testing
MU_6B,3,9/16/20,48,30,0.01,0,testing
MU_6C,3,9/16/20,48,30.33,0.01,0,testing
MU_8,1.5,9/16/20,48,30,0.01,0,testing
MU_5B,1.5,9/16/20,48,30.08,0.01,0,testing
MU_9,3,9/16/20,48,30.02,0.01,0,testing
MU_6A,3,9/16/20,48,30.33,0.01,0,testing
MU_15A,1.5,9/16/20,48,29,0.01,0,testing
MU_16A,2,9/16/20,48,29,0.01,0,testing
MU_17,3,9/16/20,48,29.71,0.01,0,testing
BS_13B,3,9/16/20,48,28,0.01,0,testing
BS_6,3,9/16/20,48,29,0.01,0,testing
BS_7,2.5,9/16/20,48,28.67,0.01,0,testing
BS_15,3,9/16/20,48,28,0.01,0,testing
PAM_6B,4,9/16/20,48,23,0.01,0,testing
OBX_1,4,9/16/20,48,16.52,0.01,0,testing
PAM_2,4,9/16/20,48,21.93,0.01,0,testing
PAM_4,4,9/16/20,48,22.48,0.01,0,testing
PAM_5,4,9/16/20,48,22.63,0.01,0,testing
Hyde_3,4,9/16/20,48,22.04,0.01,0,testing
Neuse_2,4,9/16/20,48,25,0.01,0,testing
Neuse_3,4,9/16/20,48,25,0.01,0,testing
Neuse_6,4,9/16/20,48,24.98,0.01,0,testing
Neuse_4,4,9/16/20,48,24.23,0.01,0,testing
Neuse_1,4,9/16/20,48,24,0.01,0,testing
Neuse_8,4,9/16/20,48,24.43,0.01,0,testing
PAM_3,4,9/16/20,48,21.45,0.01,0,testing
Hyde_5,4,9/16/20,48,21,0.01,0,testing
Hyde_4,4,9/16/20,48,21.06,0.01,0,testing
Hyde_2,4,9/16/20,48,22.67,0.01,0,testing
Hyde_1,4,9/16/20,48,23,0.01,0,testing
LS_1,4,9/16/20,48,21.98,0.01,0,testing
OBX_2,4,9/16/20,48,16.32,0.01,0,testing
OBX_5A,4,9/16/20,48,23.2,0.01,0,testing
OBX_6,4,9/16/20,48,26.44,0.01,0,testing
OBX_5,4,9/16/20,48,20.66,0.01,0,testing
CL_4B,4,9/16/20,48,25,0.01,0,testing
CL_2,4,9/16/20,48,25,0.01,0,testing
OBX_7,4,9/16/20,48,27.91,0.01,0,testing
OBX_8,4,9/16/20,48,26.37,0.01,0,testing
OBX_10B,4,9/16/20,48,25.53,0.01,0,testing
CL_1,4,9/16/20,48,25,0.01,0,testing
NB_4,2,9/16/20,48,25.84,0.01,0,testing
NB_3,2,9/16/20,48,26,0.01,0,testing
NB_1,1.5,9/16/20,48,26,0.01,0,testing
NB_2,2,9/16/20,48,26,0.01,0,testing
NB_5,4,9/16/20,48,25.78,0.01,0,testing
JB_2,2,9/16/20,48,26.27,0.01,0,testing
JB_1,2,9/16/20,48,26,0.01,0,testing
NR_2,1.5,9/16/20,48,26.79,0.01,0,testing
NR_8A,3,9/16/20,48,27.83,0.01,0,testing
NR_10,4,9/16/20,48,28.34,0.01,0,testing
JB_4,4,9/16/20,48,26.9,0.01,0,testing
NR_3,1.5,9/16/20,48,26,0.01,0,testing
NR_4,1.5,9/16/20,48,26.2,0.01,0,testing
NR_7,1.5,9/16/20,48,27,0.01,0,testing
NPT_1,1,9/16/20,48,28,0.01,0,testing
NPT_2A,1,9/16/20,48,28,0.01,0,testing
NPT_2B,1,9/16/20,48,28,0.01,0,testing
NPT_4,1.5,9/16/20,48,27,0.01,0,testing
NPT_5,1.5,9/16/20,48,27.06,0.01,0,testing
Bruns_3A,1.5,9/16/20,48,42,0.03,0,testing
Bruns_4,2.5,9/16/20,48,42,0.03,0,testing
Bruns_5,2,9/16/20,48,0,0,0,testing
Bruns_6,2,9/16/20,48,41.33,0.04,0,testing
NH_2,2,9/16/20,48,39.8,0.15,0,testing
NH_4,2.5,9/16/20,48,41,0.1,0,testing
PND_1,2.5,9/16/20,48,41,0.04,0,testing
PND_5,2.5,9/16/20,48,39.25,0.03,0,testing
PND_6,3,9/16/20,48,39.08,0.03,0,testing
Onsl_7,1.5,9/16/20,48,39,0.03,0,testing
Onsl_6B,1.5,9/16/20,48,33,0.01,0,testing
Onsl_5,1.5,9/16/20,48,31.39,0.01,0,testing
Onsl_4,1.5,9/16/20,48,31.41,0.01,0,testing
Onsl_1,3,9/16/20,48,28.59,0.01,0,testing
MU_5A,1.5,9/16/20,48,30,0.01,0,testing
MU_7,1.5,9/16/20,48,30,0.01,0,testing
MU_10,3,9/16/20,48,30,0.01,0,testing
MU_11,1,9/16/20,48,29,0.01,0,testing
MU_12,1.5,9/16/20,48,29.5,0.01,0,testing
MU_14,3,9/16/20,48,29,0.01,0,testing
MU_15,1.5,9/16/20,48,29,0.01,0,testing
MU_16B,2,9/16/20,48,30,0.01,0,testing
BS_2,3,9/16/20,48,30,0.01,0,testing
BS_4,3,9/16/20,48,29.38,0.01,0,testing
BS_3,2.5,9/16/20,48,29,0.01,0,testing
BS_5,2.5,9/16/20,48,29,0.01,0,testing
BS_8,2.5,9/16/20,48,28.25,0.01,0,testing
BS_9,3,9/16/20,48,28.98,0.01,0,testing
BS_11,3,9/16/20,48,28.59,0.01,0,testing
BS_13,3,9/16/20,48,28,0.01,0,testing
BS_12,2.5,9/16/20,48,28,0.01,0,testing
MU_13,3,9/16/20,48,29.37,0.01,0,testing
Neuse_7,4,9/16/20,48,25,0.01,0,testing
JB_3,4,9/16/20,48,26.38,0.01,0,testing
PAM_6,4,9/16/20,48,22.97,0.01,0,testing
PAM_7,4,9/16/20,48,22.34,0.01,0,testing
NB_6,4,9/16/20,48,25.85,0.01,0,testing
NPT_3,1.5,9/16/20,48,27.56,0.01,0,testing
NH_6,2,9/16/20,48,41.82,0.07,0,testing
NR_1,1.5,9/16/20,48,27.12,0.01,0,testing
Sandy_1,4,9/16/20,48,20.94,0.01,0,testing
Onsl_2,3,9/16/20,48,29.41,0.01,0,testing
NH_3,3,9/16/20,48,39.64,0.15,0,testing
Onsl_3,3,9/16/20,48,30.2,0.01,0,testing
CL_4A,4,9/16/20,48,25.26,0.01,0,testing
OBX_4A,4,9/16/20,48,18.11,0.01,0,testing
OBX_4B,4,9/16/20,48,18.57,0.01,0,testing
Stump_1,4,9/16/20,48,19.41,0.01,0,testing
OBX_9B,4,9/16/20,48,24,0.01,0,testing
BS_14,2.5,9/16/20,48,28,0.01,0,testing
OBX_9A,4,9/16/20,48,23.73,0.01,0,testing
OBX_10A,4,9/16/20,48,23.89,0.01,0,testing
NR_8B,3,9/16/20,48,27.3,0.01,0,testing
NR_6,1.5,9/16/20,48,27,0.01,0,testing
BS_1,2.5,9/16/20,48,29.92,0.01,0,testing
BS_10,2.5,9/16/20,48,28.25,0.01,0,testing
PAM_1,4,9/16/20,72,7.19,0,0,testing
Pungo_1,4,9/16/20,72,6.76,0,0,testing
Hyde_6,4,9/16/20,72,7,0,0,testing
OBX_3,4,9/16/20,72,5.61,0,0,testing
Bruns_1,1,9/16/20,72,28,0.05,0,testing
Bruns_2,1,9/16/20,72,28,0.04,0,testing
Bruns_7,1,9/16/20,72,27.5,0.05,0,testing
Bruns_8,4,9/16/20,72,27.15,0.05,0,testing
NHP_2,3,9/16/20,72,22.73,0.02,0,testing
PAM_6A,4,9/16/20,72,8.14,0,0,testing
NR_5,1.5,9/16/20,72,12,0,0,testing
NR_9,4,9/16/20,72,13,0,0,testing
JB_1A,2,9/16/20,72,12,0,0,testing
CL_3,4,9/16/20,72,9.89,0,0,testing
Bruns_3,1.5,9/16/20,72,28,0.04,0,testing
Bruns_4A,2,9/16/20,72,28,0.04,0,testing
NH_1,2,9/16/20,72,25,0.03,0,testing
NH_5,3,9/16/20,72,24.31,0.04,0,testing
NH_7,2,9/16/20,72,23,0.02,0,testing
PND_2,3,9/16/20,72,22,0.02,0,testing
PND_4,3,9/16/20,72,21.18,0.01,0,testing
PND_3,2.5,9/16/20,72,21,0.01,0,testing
NHP_1,2.5,9/16/20,72,22.5,0.02,0,testing
Onsl_6A,1.5,9/16/20,72,13,0,0,testing
MU_2,1.5,9/16/20,72,12,0,0,testing
MU_3,3,9/16/20,72,12,0,0,testing
MU_1,1.5,9/16/20,72,12,0,0,testing
MU_4,1.5,9/16/20,72,12,0,0,testing
MU_6B,3,9/16/20,72,12,0,0,testing
MU_6C,3,9/16/20,72,12,0,0,testing
MU_8,1.5,9/16/20,72,12,0,0,testing
MU_5B,1.5,9/16/20,72,12.08,0,0,testing
MU_9,3,9/16/20,72,12.02,0,0,testing
MU_6A,3,9/16/20,72,12.33,0,0,testing
MU_15A,1.5,9/16/20,72,11.86,0,0,testing
MU_16A,2,9/16/20,72,12,0,0,testing
MU_17,3,9/16/20,72,12.71,0,0,testing
BS_13B,3,9/16/20,72,13,0,0,testing
BS_6,3,9/16/20,72,12.45,0,0,testing
BS_7,2.5,9/16/20,72,12.67,0,0,testing
BS_15,3,9/16/20,72,13,0,0,testing
PAM_6B,4,9/16/20,72,9,0,0,testing
OBX_1,4,9/16/20,72,6,0,0,testing
PAM_2,4,9/16/20,72,8,0,0,testing
PAM_4,4,9/16/20,72,8,0,0,testing
PAM_5,4,9/16/20,72,8.62,0,0,testing
Hyde_3,4,9/16/20,72,7.11,0,0,testing
Neuse_2,4,9/16/20,72,10,0,0,testing
Neuse_3,4,9/16/20,72,10,0,0,testing
Neuse_6,4,9/16/20,72,10,0,0,testing
Neuse_4,4,9/16/20,72,9.48,0,0,testing
Neuse_1,4,9/16/20,72,9.2,0,0,testing
Neuse_8,4,9/16/20,72,9.64,0,0,testing
PAM_3,4,9/16/20,72,7.73,0,0,testing
Hyde_5,4,9/16/20,72,7,0,0,testing
Hyde_4,4,9/16/20,72,7,0,0,testing
Hyde_2,4,9/16/20,72,7.08,0,0,testing
Hyde_1,4,9/16/20,72,7,0,0,testing
LS_1,4,9/16/20,72,6.21,0,0,testing
OBX_2,4,9/16/20,72,5.24,0,0,testing
OBX_5A,4,9/16/20,72,5.19,0,0,testing
OBX_6,4,9/16/20,72,5.25,0,0,testing
OBX_5,4,9/16/20,72,6,0,0,testing
CL_4B,4,9/16/20,72,10,0,0,testing
CL_2,4,9/16/20,72,10,0,0,testing
OBX_7,4,9/16/20,72,6.54,0,0,testing
OBX_8,4,9/16/20,72,8.12,0,0,testing
OBX_10B,4,9/16/20,72,9.32,0,0,testing
CL_1,4,9/16/20,72,10.15,0,0,testing
NB_4,2,9/16/20,72,10.84,0,0,testing
NB_3,2,9/16/20,72,11,0,0,testing
NB_1,1.5,9/16/20,72,11,0,0,testing
NB_2,2,9/16/20,72,11,0,0,testing
NB_5,4,9/16/20,72,11,0,0,testing
JB_2,2,9/16/20,72,12,0,0,testing
JB_1,2,9/16/20,72,11.7,0,0,testing
NR_2,1.5,9/16/20,72,12,0,0,testing
NR_8A,3,9/16/20,72,12.83,0,0,testing
NR_10,4,9/16/20,72,13.34,0,0,testing
JB_4,4,9/16/20,72,12.14,0,0,testing
NR_3,1.5,9/16/20,72,12,0,0,testing
NR_4,1.5,9/16/20,72,12,0,0,testing
NR_7,1.5,9/16/20,72,12,0,0,testing
NPT_1,1,9/16/20,72,12,0,0,testing
NPT_2A,1,9/16/20,72,12,0,0,testing
NPT_2B,1,9/16/20,72,12,0,0,testing
NPT_4,1.5,9/16/20,72,12,0,0,testing
NPT_5,1.5,9/16/20,72,11.9,0,0,testing
Bruns_3A,1.5,9/16/20,72,28,0.04,0,testing
Bruns_4,2.5,9/16/20,72,28,0.04,0,testing
Bruns_5,2,9/16/20,72,0,0,0,testing
Bruns_6,2,9/16/20,72,27.44,0.05,0,testing
NH_2,2,9/16/20,72,25,0.04,0,testing
NH_4,2.5,9/16/20,72,24,0.04,0,testing
PND_1,2.5,9/16/20,72,22,0.02,0,testing
PND_5,2.5,9/16/20,72,21,0.01,0,testing
PND_6,3,9/16/20,72,21,0.01,0,testing
Onsl_7,1.5,9/16/20,72,20,0.01,0,testing
Onsl_6B,1.5,9/16/20,72,14,0,0,testing
Onsl_5,1.5,9/16/20,72,12.39,0,0,testing
Onsl_4,1.5,9/16/20,72,12,0,0,testing
Onsl_1,3,9/16/20,72,11,0,0,testing
MU_5A,1.5,9/16/20,72,12,0,0,testing
MU_7,1.5,9/16/20,72,12,0,0,testing
MU_10,3,9/16/20,72,12.28,0,0,testing
MU_11,1,9/16/20,72,12,0,0,testing
MU_12,1.5,9/16/20,72,12,0,0,testing
MU_14,3,9/16/20,72,12,0,0,testing
MU_15,1.5,9/16/20,72,11,0,0,testing
MU_16B,2,9/16/20,72,13,0,0,testing
BS_2,3,9/16/20,72,13,0,0,testing
BS_4,3,9/16/20,72,12.38,0,0,testing
BS_3,2.5,9/16/20,72,12,0,0,testing
BS_5,2.5,9/16/20,72,12,0,0,testing
BS_8,2.5,9/16/20,72,12,0,0,testing
BS_9,3,9/16/20,72,12.9,0,0,testing
BS_11,3,9/16/20,72,12.68,0,0,testing
BS_13,3,9/16/20,72,13,0,0,testing
BS_12,2.5,9/16/20,72,13,0,0,testing
MU_13,3,9/16/20,72,12.37,0,0,testing
Neuse_7,4,9/16/20,72,10,0,0,testing
JB_3,4,9/16/20,72,11.69,0,0,testing
PAM_6,4,9/16/20,72,8.97,0,0,testing
PAM_7,4,9/16/20,72,8.05,0,0,testing
NB_6,4,9/16/20,72,11.1,0,0,testing
NPT_3,1.5,9/16/20,72,12,0,0,testing
NH_6,2,9/16/20,72,24,0.04,0,testing
NR_1,1.5,9/16/20,72,12.12,0,0,testing
Sandy_1,4,9/16/20,72,6,0,0,testing
Onsl_2,3,9/16/20,72,11.63,0,0,testing
NH_3,3,9/16/20,72,25,0.04,0,testing
Onsl_3,3,9/16/20,72,11.45,0,0,testing
CL_4A,4,9/16/20,72,10.06,0,0,testing
OBX_4A,4,9/16/20,72,6,0,0,testing
OBX_4B,4,9/16/20,72,6,0,0,testing
Stump_1,4,9/16/20,72,6,0,0,testing
OBX_9B,4,9/16/20,72,6.23,0,0,testing
BS_14,2.5,9/16/20,72,13,0,0,testing
OBX_9A,4,9/16/20,72,7.23,0,0,testing
OBX_10A,4,9/16/20,72,8.76,0,0,testing
NR_8B,3,9/16/20,72,12.3,0,0,testing
NR_6,1.5,9/16/20,72,12,0,0,testing
BS_1,2.5,9/16/20,72,12.92,0,0,testing
BS_10,2.5,9/16/20,72,12.75,0,0,testing
PAM_1,4,9/16/20,24,16.77,0.01,27.6,testing
Pungo_1,4,9/16/20,24,15.79,0.01,40.1,testing
Hyde_6,4,9/16/20,24,16,0.03,71.2,testing
OBX_3,4,9/16/20,24,12.21,0,37.4,testing
Bruns_1,1,9/16/20,24,56.8,0.39,65.9,testing
Bruns_2,1,9/16/20,24,55,0.31,91.9,testing
Bruns_7,1,9/16/20,24,51.5,0.25,27.9,testing
Bruns_8,4,9/16/20,24,51.64,0.37,36.7,testing
NHP_2,3,9/16/20,24,41.86,0.13,36,testing
PAM_6A,4,9/16/20,24,18,0.04,37.6,testing
NR_5,1.5,9/16/20,24,26,0.24,26.4,testing
NR_9,4,9/16/20,24,28.61,0.27,96.1,testing
JB_1A,2,9/16/20,24,29,0.24,38.1,testing
CL_3,4,9/16/20,24,23.8,0.15,71.5,testing
Bruns_3,1.5,9/16/20,24,55,0.31,27.9,testing
Bruns_4A,2,9/16/20,24,54.33,0.29,29.8,testing
NH_1,2,9/16/20,24,49,0.32,57.4,testing
NH_5,3,9/16/20,24,47.31,0.22,24.7,testing
NH_7,2,9/16/20,24,44.04,0.14,48.3,testing
PND_2,3,9/16/20,24,40.15,0.12,78.3,testing
PND_4,3,9/16/20,24,38.59,0.13,88.4,testing
PND_3,2.5,9/16/20,24,37.8,0.13,36.6,testing
NHP_1,2.5,9/16/20,24,40.5,0.13,25.2,testing
Onsl_6A,1.5,9/16/20,24,31,0.35,69,testing
MU_2,1.5,9/16/20,24,29,0.32,85.5,testing
MU_3,3,9/16/20,24,29.67,0.33,41.1,testing
MU_1,1.5,9/16/20,24,29,0.32,21.7,testing
MU_4,1.5,9/16/20,24,29,0.31,49.7,testing
MU_6B,3,9/16/20,24,29,0.31,81.6,testing
MU_6C,3,9/16/20,24,29.33,0.32,55.8,testing
MU_8,1.5,9/16/20,24,29,0.31,88.5,testing
MU_5B,1.5,9/16/20,24,29,0.31,90.6,testing
MU_9,3,9/16/20,24,29,0.31,76.4,testing
MU_6A,3,9/16/20,24,29,0.32,86.5,testing
MU_15A,1.5,9/16/20,24,28.86,0.29,22.4,testing
MU_16A,2,9/16/20,24,29,0.29,79.5,testing
MU_17,3,9/16/20,24,28.29,0.3,44,testing
BS_13B,3,9/16/20,24,25,0.27,71.2,testing
BS_6,3,9/16/20,24,27.55,0.27,32.6,testing
BS_7,2.5,9/16/20,24,27,0.26,33.2,testing
BS_15,3,9/16/20,24,25.67,0.28,77.5,testing
PAM_6B,4,9/16/20,24,19,0.07,74.6,testing
OBX_1,4,9/16/20,24,12,0,48.1,testing
PAM_2,4,9/16/20,24,17,0.04,60.6,testing
PAM_4,4,9/16/20,24,17.55,0.06,82.8,testing
PAM_5,4,9/16/20,24,18,0.07,78.4,testing
Hyde_3,4,9/16/20,24,16.11,0.04,43.2,testing
Neuse_2,4,9/16/20,24,20.89,0.17,79.1,testing
Neuse_3,4,9/16/20,24,20.52,0.16,29.9,testing
Neuse_6,4,9/16/20,24,23.04,0.17,76.8,testing
Neuse_4,4,9/16/20,24,20.03,0.14,77.9,testing
Neuse_1,4,9/16/20,24,19.32,0.12,89.3,testing
Neuse_8,4,9/16/20,24,22.25,0.14,92.1,testing
PAM_3,4,9/16/20,24,16.88,0.01,56.3,testing
Hyde_5,4,9/16/20,24,16.29,0.01,84.8,testing
Hyde_4,4,9/16/20,24,16,0.02,75.9,testing
Hyde_2,4,9/16/20,24,16.83,0.05,32.8,testing
Hyde_1,4,9/16/20,24,17.86,0.04,76.6,testing
LS_1,4,9/16/20,24,17.29,0.03,99.4,testing
OBX_2,4,9/16/20,24,11.55,0,49.4,testing
