sga_name,sga_county,sga_description,sga_desc_short,sga_desc_short_camel
G05,Hyde,Englehard Area and Long Shoal River Area,Englehard Long Shoal River,EnglehardLongShoal
G01,Beaufort,Goose Greek Area and Pamlico River Area,Goose Creek Pamlico River,GooseCreekPamlico
G01,Pamlico,Goose Greek Area and Pamlico River Area,Goose Creek Pamlico River,GooseCreekPamlico
E07,Carteret,Harkers Island Area,Harkers Island,HarkersIsland
H04,Dare,Hatteras and Outer Banks Area,Hattaras Outer Banks,HattarasOuterBanks
H04,Hyde,Hatteras and Outer Banks Area,Hattaras Outer Banks,HattarasOuterBanks
C04,Onslow,Hurst and Onslow Beach Area,Hurst Beach Onslow Beach,HurstOnslow
A03,Brunswick,Lockwoods Folly River Area,Lockwoods Folly River,LockwoodsFolly
B06,New Hanover,Masonboro Sound Area,Masonboro Sound,MasonboroSound
C01,Onslow,Mill Creek Area,Mill Creek,MillCreek
B05,New Hanover,Myrtle Grove Sound Area,Myrtle Grove Sound,MyrtleGroveSound
F08,Craven,Neuse River Area and New Bern Area,Neuse River New Bern,NeuseNewBern
F08,Pamlico,Neuse River Area and New Bern Area,Neuse River New Bern,NeuseNewBern
F09,Craven,Neuse River Area,Neuse River,NeuseRiver
F09,Pamlico,Neuse River Area,Neuse River,NeuseRiver
F01,Craven,Neuse River Area and Clubfoot Creek Area,Neuse River Clubfoot Creek,NeuseRiverClubfoot
F01,Pamlico,Neuse River Area and Clubfoot Creek Area,Neuse River Clubfoot Creek,NeuseRiverClubfoot
F05,Pamlico,Neuse River Area and Oriental Area,Neuse River Oriental,NeuseRiverOriental
E04,Carteret,Newport River Area,Newport River,NewportRiver
C03,Onslow,New River Area,New River,NewRiver
E06,Carteret,North River Area,North River,NorthRiver
H05,Dare,Outer Banks Area,Outer Banks,OuterBanks
G10,Beaufort,Pamlico River Area,Pamlico River,PamlicoRiver
G11,Beaufort,Pamlico River Area,Pamlico River,PamlicoRiver
F07,Carteret,Pamlico Sound Area,Pamlico Sound,PamlicoSound
F07,Pamlico,Pamlico Sound Area,Pamlico Sound,PamlicoSound
G07,Carteret,Pamlico Sound Area,Pamlico Sound,PamlicoSound
G07,Dare,Pamlico Sound Area,Pamlico Sound,PamlicoSound
G07,Hyde,Pamlico Sound Area,Pamlico Sound,PamlicoSound
G07,Pamlico,Pamlico Sound Area,Pamlico Sound,PamlicoSound
H06,Dare,Pamlico Sound Area,Pamlico Sound,PamlicoSound
G08,Beaufort,Pungo River Area,Pungo River,PungoRiver
G08,Hyde,Pungo River Area,Pungo River,PungoRiver
G09,Beaufort,Pungo River Area,Pungo River,PungoRiver
G09,Hyde,Pungo River Area,Pungo River,PungoRiver
D02,Onslow,Queens Creek Area,Queens Creek,QueensCreek
H01,Dare,Roanoke Sound Area,Roanoke Sound,RoanokeSound
A02,Brunswick,Shallotte River Area,Shallotte River,Shallotte
G06,Hyde,Silver Lake Area and Ocracoke Area,Silver Lake Ocracoke,SilverLakeOcracoke
C02,Onslow,Sneads Ferry Area,Sneads Ferry,SneadsFerry
G12,Beaufort,South Creek Area,South Creek,SouthCreek
B09,Onslow,Stump Sound Area,Stump Sound,StumpSound
B09,Pender,Stump Sound Area,Stump Sound,StumpSound
H03,Dare,Stumpy Point Area,Stumpy Point,StumpyPoint
G03,Hyde,Swanquarter Bay Area,Swanquarter Bay,SwanquarterBay
G03,Pamlico,Swanquarter Bay Area,Swanquarter Bay,SwanquarterBay
B08,New Hanover,Topsail Sound Area,Topsail Sound,TopsailSound
B08,Pender,Topsail Sound Area,Topsail Sound,TopsailSound
F03,Carteret,West Bay Area,West Bay,WestBay
D03,Carteret,White Oak River Area,White Oak River,WhiteOak
D03,Onslow,White Oak River Area,White Oak River,WhiteOak
G02,Beaufort,Wright and Oyster Creeks Area,Wright Creek Oyster Creek,WrightOyster
G02,Hyde,Wright and Oyster Creeks Area,Wright Creek Oyster Creek,WrightOyster
G02,Pamlico,Wright and Oyster Creeks Area,Wright Creek Oyster Creek,WrightOyster
B07,New Hanover,Wrightsville Beach Area,Wrightsville Beach,WrightsvilleBeach
G04,Hyde,Wysocking Bay Area,Wysocking Bay,WysockingBay
